CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Bozeman ,outside MSU’s Strand Union Building,MT,US,2018-01-20,roughly 1300,1300,,1300,,,Big Sky Rising,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/2165978163416142/,https://www.bozemandailychronicle.com/news/one-year-on-women-march-again-for-equality-representation/article_dead0dff-2905-546d-bd06-199538cf724c.html,,,,,,
Brattleboro,Pliny Park,VT,US,2018-01-20,,,,,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,"http://www.reformer.com/stories/gathering-in-solidarity-to-stand-up-for-change,530047?",,,,,,,
Bristol,Historic Bristol sign,VA,US,2018-01-20,100,100,,100,,,general protestors,Empower Voters to Support Women's Rights,1,1,Rally,0,0,0,0,1,1,http://www.heraldcourier.com/news/gather-in-bristol-to-support-national-women-s-march/article_f1fff1ef-a874-533b-ad71-265dea361c9d.html,https://actionnetwork.org/events/bristol-virginessee-womens-march,,,,,,
Brookings-Harbor,619 Chetco Avenue,OR,US,2018-01-20,FB: 32,32,,32,,,Brookings-Harbor Women's March,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/402103546897215/,,,,,,,
Broomfield,Broomfield Library,CO,US,2018-01-20,about 400,400,,400,,,Broomfield County Democrats,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://marchonthepolls.org/event/broomfield-county-democrats/,http://www.dailycamera.com/broomfield-news/ci_31607874/hundreds-turn-out-broomfield-show-passion-resistance-still?source=rss,,,,,,
Browning,,MT,US,2018-01-20,,,,,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.greatfallstribune.com/story/news/2018/01/20/thousands-attend-democracy-rallies-around-state/1051327001/,,,,,,,
Brownsville,Washington Park,TX,US,2018-01-20,about 200,200,,200,,,March On Texas-Awesome Women in Action Chapter,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/2048044305442878/,http://www.brownsvilleherald.com/news/local/demonstrators-celebrate-anniversary-of-women-s-march/article_d82be290-fe5a-11e7-aa2b-6356dceb8e90.html,,,,,,
Brunswick,,ME,US,2018-01-20,na,150,,200,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://www.facebook.com/photo.php?fbid=10155512044359139&set=a.38250844138.48719.679339138&type=3&theater,web form,,,,,,
Burbank,Chandler Bikeway at Mariposa,CA,US,2018-01-20,FB: 296,296,,296,,,Burbank Women's March,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/139816826705039/,,,,,,,
Butte,,MT,US,2018-01-20,,,,,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.greatfallstribune.com/story/news/2018/01/20/thousands-attend-democracy-rallies-around-state/1051327001/,http://www.kxlf.com/story/37308275/butte-activists-celebrate-first-anniversary-of-womens-march,,,,,,
