CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Sacramento,State Capitol,CA,US,2018-01-08,about 150,150,,150,,,Femle lawmakers,Rallying in solidarity with the TimesUp movement,1,,rally,0,0,0,0,1,1,http://www.sacbee.com/news/politics-government/capitol-alert/article193637714.html,,,,,,,
Springfield,S 6th St.,IL,US,2018-01-08,FB: 23,23,,23,,,Indivisible Springfield,Protesting GOP Tax Bill,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/191195361474370,,,,,,,
Washington,White House,DC,US,2018-01-08,,,,,,,General Protestors,Protesting the end of Temporary Protected Status for Savadorans,1,,protest,0,0,0,0,1,1,http://www.miamiherald.com/news/local/article193558669.html,,,,,,,
Wilmington,Chase Center on the Waterfront,DE,US,2018-01-08,FB: 4,4,,4,,,Delaware Nature Society,Protesting inaction toward climate change,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/126465288151659/,,,,,,,
Annapolis,,MD,US,2018-01-09,,,,,,,general protestors,"Protesting Trump, rallying against a Democratic pushback",1,,protest,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/politics/bs-md-democrats-rally-20180108-story.html,,,,,,,
Austin,Railroad Comission of Texas,TX,US,2018-01-09,FB: 48,48,,48,,,General Protestors; Save Our Springs Too; Camp Toyahvale; ATXEJ - Austin Environmental Justice Team,Protest against fracking ,0,,protestors,0,0,0,0,1,1,https://www.facebook.com/events/467278847000245/,,,,,,,
Baltimore,Municipal office building,MD,US,2018-01-09,,,,,,,Not Without Black Women,Protesting frigid temperatures within public schools,0,,protest,0,0,0,0,1,1,https://thinkprogress.org/baltimore-parents-protest-freezing-classrooms-9e4b36e63eda/,,,,,,,
Chicago,Center On Halsted,IL,US,2018-01-09,FB: 32,32,,32,,,general protestors,Rallying for net neutrality,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/178833932862681/,,,,,,,
Fayetteville,Cumberland County Courthouse,NC,US,2018-01-09,,,,,,,general protestors,Rallying for more judicial transparency,0,,rally,0,0,0,0,1,1,http://www.fayobserver.com/news/20180109/rally-today-will-protest-plans-to-end-or-change-judge-elections,,,,,,,
Fort Lauderdale,Bubier Park,FL,US,2018-01-09,FB: 21,21,,21,,,SEIU Florida,Protesting Gov. Rick Scott,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/1993453394246399/,,,,,,,
