Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
students,Protesting Trump's decision to end DACA,1,100.0,2017-09-27,238,Mountain View,CA
CHISPAS; The Hispanic Student Association; Students Taking Action Against Racism,Protesting Trump's decision to end DACA,1,300.0,2017-09-28,239,Gainesville,FL
general protestors,Protesting Trump's decision to end DACA; rallying for immigration reform,1,24.0,2017-09-28,239,Greensboro,NC
Students,Protesting Trump's decision to end DACA,1,24.0,2017-09-28,239,Omaha,NB
general protestors,Rally for immigrants,1,100.0,2017-09-30,241,Arlington Heights,IL
general protestors,Rally in support of immigrants,1,100.0,2017-09-30,241,Louisville,KY
In part by Uconn MSA,"end the ""muslim ban""",1.0,250.0,2017-02-01,0,Storrs,CT
general protestors,end immigration ban,1.0,1150.0,2017-02-01,0,West Hartford,CT
Civil Rights Coalition,immigration ban,1.0,37.5,2017-02-01,0,Dover,DE
General protestors and students,Protest immigrant ban,1.0,125.0,2017-02-01,0,Manhattan,KS
Safe Communities Act Coalition ,immigration ban,1.0,200.0,2017-02-01,0,Boston,MA
General protest,immigration policy,1.0,200.0,2017-02-01,0,Worcester,MA
general protestors,immigration ban,1.0,37.0,2017-02-01,0,Dover,MD
general protestors,"end the ""Muslim ban""",1.0,1250.0,2017-02-01,0,Portland,ME
General protest,immigration ban,1.0,200.0,2017-02-01,0,Chappaqua,NY
Students,"end the ""muslim ban""",1.0,70.0,2017-02-01,0,Athens,OH
General protest,Immigration ban,1.0,50.0,2017-02-01,0,Johnson City,TN
general protestors,protest immigration ban,1.0,1000.0,2017-02-01,0,Knoxville,TN
"Refugee Empowerment Program, Comunidades Unidas en Una Voz and the Tennessee Immigrant & Refugee Rights Coalition.",Immigration ban,1.0,2000.0,2017-02-01,0,Memphis,TN
Tennessee Immigrant and Refugee Rights Coalition.,Immigration ban,1.0,3000.0,2017-02-01,0,Nashville ,TN
general protestors,"end the ""Muslim ban""",1.0,200.0,2017-02-01,0,Montpelier,VT
general protestors,"end the ""Muslim ban""",1.0,175.0,2017-02-01,0,Rutland City ,VT
students,protest immigration ban,1.0,175.0,2017-02-02,1,Sacramento,CA
Comcast employees,Immigration ban,1.0,150.0,2017-02-02,1,Washington DC,DC
General protestors,protest immigration ban,1.0,450.0,2017-02-02,1,Des Moines,IA
Chicago Alliance Against Racist and Political Repression,protest immigration ban,1.0,200.0,2017-02-02,1,Chicago,IL
General Protest,Congressman support for travel ban,1.0,35.0,2017-02-02,1,Grandville ,MI
Charlotte Interfaith Peace and Unity Coalition,protest immigration ban,1.0,200.0,2017-02-02,1,Charlotte,NC
General protest,immigration ban,1.0,200.0,2017-02-02,1,Flemington,NJ
Bodega owners,"end the ""muslim ban""",1.0,1500.0,2017-02-02,1,New York City ,NY
Comcast employees,Immigration ban,1.0,800.0,2017-02-02,1,Philadelphia,PA
General protestors,"Protest Texas Governor Greg Abbott's withholding of state funding to penalize Austin's commitment as a ""sanctuary city""",1.0,450.0,2017-02-02,1,Austin,TX
general protestors,protest immigration ban,1.0,200.0,2017-02-03,2,Tempe ,AZ
general protestors,protest immigration ban,1.0,125.0,2017-02-03,2,Tucson,AZ
General Protest,Immigration ban,1.0,300.0,2017-02-03,2,Fort Mayne ,IN
General protest ,"end the ""Muslim ban""",1.0,200.0,2017-02-03,2,Fredrick,MD
General protestors,Protest immigration ban,1.0,300.0,2017-02-03,2,Bozeman,MT
Montana for Immigrants,Protest immigrant ban,1.0,300.0,2017-02-03,2,Helena,MT
General Protest,"Against Cutting funding to ""Sanctuary Cities""",1.0,200.0,2017-02-03,2,Rochester ,NY
General protest,immigration ban,1.0,150.0,2017-02-03,2,New York City ,NY 
General Protest,Immigration order,1.0,200.0,2017-02-03,2,Cleveland ,OH
General Protest,Trump's travel ban,1.0,200.0,2017-02-03,2,Dayton,OH
"Houston Socialist Movement, #FightFor15 supporters, anarchists, Familias Inmigrantes y Estudiantes en the Lucha and other activist groups ",Protest immigrant ban and building of wall,1.0,150.0,2017-02-03,2,Houston,TX
General Protest,Immigration ban,1.0,195.0,2017-02-04,3,Auburn ,AL
"We the People, Tucson",protest immigration ban,1.0,125.0,2017-02-04,3,Tucson,AZ
general protestors,protest immigration ban and border wall,1.0,7500.0,2017-02-04,3,San Francisco,CA
general protestors,immigration ban,1.0,1000.0,2017-02-04,3,Boulder,CO
general protestors,protest immigration ban,1.0,450.0,2017-02-04,3,Colorado Springs,CO
general protestors,"end the ""Muslim ban""",1.0,6000.0,2017-02-04,3,Denver,CO
general protestors,immigration ban,1.0,20.0,2017-02-04,3,Montrose,CO
general protestors,immigration ban,1.0,2000.0,2017-02-04,3,"Washington, DC",DC
General Protest,immigration ban,1.0,200.0,2017-02-04,3,Miami ,FL
University body,Immigration ban,1.0,200.0,2017-02-04,3,Atlanta ,GA
general protest,immigration ban,1.0,650.0,2017-02-04,3,Moscow,ID
General Protest,Trump's cabinet picks and immigration ban ,1.0,400.0,2017-02-04,3,Annapolis,MD
General Protest,immigration ban,1.0,350.0,2017-02-04,3,Baltimore,MD
General Protest,Immigration ban,1.0,400.0,2017-02-04,3,Flint ,MI
general protestors,protest immigration ban,1.0,150.0,2017-02-04,3,Willmar ,MN
general protestors,immigration ban,1.0,60.0,2017-02-04,3,Charlotte,NC
General Protest ,Immigration ban,1.0,1100.0,2017-02-04,3,Raleigh,NC
LGBTQ NYC Community,immigration ban,1.0,2000.0,2017-02-04,3,New York City ,NY
General Protest ,immigration ban,1.0,200.0,2017-02-04,3,Philadelphia,PA
March for Humanity,immigration ban,1.0,2000.0,2017-02-04,3,Philadelphia,PA
The Islamic Society of Greenville,protest immigration ban,1.0,350.0,2017-02-04,3,Greenville ,SC
General protestors,Protest immigration ban and Trump's policies,1.0,275.0,2017-02-04,3,Houston,TX
general protestors,anti-Trump; protest immigration ban,1.0,3000.0,2017-02-04,3,Salt Lake City,UT
general protesters,"end the ""muslim ban""",1.0,50.0,2017-02-04,3,Rhinelander,WI
general protestors,against the immigration ban ,1.0,600.0,2017-02-05,4,Cedar Falls,IA
Students Against Hate and Discrimination,protest immigration ban,1.0,1300.0,2017-02-05,4,Iowa City,IA
General Protest,immigration ban,1.0,1000.0,2017-02-05,4,Lexington,KY
General Protest ,immigration ban ,1.0,200.0,2017-02-05,4,Grand Rapids,MI
general protesters,"end the ""muslim ban""",1.0,200.0,2017-02-05,4,Kalamazoo,MI
School kids,Immigration ban,1.0,200.0,2017-02-05,4,Asheville ,NC
general protestors,immigration ban,1.0,400.0,2017-02-05,4,Canton,NY
general protesters,immigration ban,1.0,1000.0,2017-02-05,4,Harrisburg,PA
Tennessee Immigrant and Refugee Rights Coalition,immigration ban,1.0,200.0,2017-02-05,4,Nashville,TN
General protestors,Protest immigration ban,1.0,450.0,2017-02-05,4,Austin ,TX
General protestors,Protest immigration ban and Trump's policies,1.0,500.0,2017-02-05,4,Houston,TX
general protesters,"end the ""muslim ban""",1.0,200.0,2017-02-05,4,Janesville,WI
General protest ,Immigration ban,1.0,1000.0,2017-02-05,4,Charleston,WV
general protesters,Demanding Bridgeport become a sanctuary city,1.0,100.0,2017-02-06,5,Bridgeport,CT
Southwest Missouri Democrats,"Against ""Muslim ban""",1.0,30.0,2017-02-06,5,Joplin,MO
Stockton University Student Senate,Calling for Stockton University to become sanctuary campus,1.0,100.0,2017-02-06,5,Galloway,NJ
Cornell University Students,"Against ""Muslim ban""",1.0,100.0,2017-02-06,5,Ithaca,NY
